Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
33,3.6031694,3.326054841,15.51553357,0.73569912,1.121487161,1.026076559,1.953009017,20,0.07907943,-0.003316283,0.043766389,77.22823427,110.5691096,0.07907943,3.459637327
34,1.011439264,3.666868517,8.433302122,0.116737747,1.900425344,0.499984921,1.802761181,20,0.130723855,0.006464868,0.023148581,57.69206044,49.96690431,0.130723855,1.760093684
35,5.13001252,1.155245771,13.7389565,0.011960969,1.80405953,0.961198947,0.515477774,20,0.418132542,0.019872958,0.05650962,42.66760382,11.553286,0.418132542,1.990400559
36,5.814045061,4.101654943,11.16209957,0.91746537,0.852201332,0.687163197,1.081957968,20,0.126717991,0.001014927,0.054527957,34.7266677,31.02744897,0.126717991,4.835267991
37,1.761842299,4.508016797,12.81909247,0.427642339,0.451909889,0.802499506,0.87438513,20,0.103157324,-0.000687299,0.033257495,17.96337306,19.71555741,0.103157324,2.577638513
38,1.923541635,2.252105351,14.47901598,0.83616476,1.76418861,0.74531548,0.381604116,20,0.251688172,0.010451167,0.046485243,29.68441482,13.35324829,0.251688172,2.078517691
39,5.724775237,0.330391256,10.51378017,0.985684671,0.700020484,0.869601405,1.139786961,20,0.014237399,-8.74E-05,0.00012662,2.835769572,22.5507774,0.014237399,0.539425379
40,1.520997898,5.538528416,18.59647603,0.696417614,1.173854072,1.808237746,1.205490506,20,0.276962532,0.012743008,0.062163359,60.43360114,24.70464929,0.276962532,2.494942865
41,0.953304746,5.78425597,6.106136251,0.245940731,0.184166345,1.29960712,1.661905452,20,0.169712747,0.008397703,0.023404269,39.78609057,26.54226886,0.169712747,1.897640027
42,0.259982536,5.094654909,16.64767607,0.830394354,0.223678998,0.041977608,1.366712762,20,0.013448484,0.000209127,2.91E-05,0.289079675,2.433691135,0.013448484,0.259990067
43,3.3329035,3.873182695,5.215869532,0.579429508,0.062441359,1.38499056,1.528539696,20,0.206399726,0.005617892,0.081510287,50.8467016,27.89169503,0.206399726,3.589625866
44,0.72334043,3.103798301,19.94382903,0.511080364,1.634176216,0.633311353,0.160168944,20,0.095939863,0.00383362,0.028979093,16.77554723,19.79697527,0.095939863,1.300455404
45,4.413024321,2.682227007,17.95325872,0.728451026,0.487073792,1.445158852,0.016314185,20,0.378421326,0.015594396,0.063685039,31.42290407,9.401387545,0.378421326,3.36857804
46,1.297872239,0.12406229,12.13027565,0.627233973,0.114345827,1.980537279,0.77231213,20,0.046195689,0.000256408,0.006479227,2.997966374,7.347617668,0.046195689,0.133878475
47,2.61857723,0.837492074,11.58919831,0.312295005,0.399452412,1.114257796,1.433213373,20,0.105852713,0.001882497,0.0369999,24.3108398,26.00274551,0.105852713,1.332122993
48,5.42030905,5.327244315,17.22472027,0.271715172,1.510572901,1.683461678,1.893664852,20,0.051632915,-0.001031545,0.118484033,129.6241671,284.2369738,0.051632915,5.373389426
49,3.094933621,4.274041817,14.75757252,0.096234248,1.340206281,1.602017818,1.27778909,20,0.168685941,-0.001441655,0.095784477,80.03088704,53.71554449,0.168685941,3.608683256
50,2.329241627,2.473217054,13.11461845,0.564591754,0.280703644,0.261007036,0.204011721,20,0.003305436,0.000144442,0.002784414,2.052043801,,0.003305436,2.397463323
51,2.551707703,1.607371576,16.3839627,0.782153838,1.011235122,1.200830525,0.552953526,20,0.265414965,0.012777748,0.060612184,24.19238452,10.31987673,0.265414965,2.035749653
52,2.833054904,2.121642774,5.624641601,0.487178509,1.538010234,1.748433131,0.974706174,20,0.49385114,0.014965919,0.129534765,67.34863518,15.44023754,0.49385114,2.441459827
53,0.043156016,1.586697681,6.537461812,0.3768958,1.711520047,0.290203523,0.081048265,20,0.004354347,0.000211892,5.60E-05,0.457141111,,0.004354347,0.045167905
54,0.474336991,1.222679213,18.2923215,0.155999644,0.575269751,0.381217536,1.70139524,20,0.037672032,-0.001800378,0.004384579,10.56509679,31.75233532,0.037672032,0.702742766
55,4.848519823,0.4250869,7.683624391,0.207141538,0.868661931,0.156019554,0.661024492,20,0.052922269,0.002632246,0.001678367,5.520663313,11.81065669,0.052922269,0.934959221
56,5.27488168,4.996035471,19.1611663,0.866719565,1.434093893,1.871132101,0.332027835,20,0.374671336,0.012101427,0.149194051,93.30067503,28.19392607,0.374671336,5.129399719
57,3.806971838,1.966323759,9.080238601,0.656723641,1.97378325,1.524495559,0.464171172,20,0.041661381,-0.001384522,0.119850154,75.31916917,204.6883378,0.041661381,2.655334426
58,4.049561302,0.650778468,10.43824745,0.445914346,1.316162362,1.140219961,1.057720808,20,0.207270368,0.010093661,0.028354462,25.96957453,14.1856374,0.207270368,1.269493111
59,4.282456416,3.422041932,7.230792753,0.944304715,0.612641553,0.552869487,1.745006041,20,0.13026416,-0.005781166,0.030300353,46.63877478,40.53623683,0.13026416,3.817146742
60,2.155230617,5.817953635,8.748121486,0.336148182,0.753423075,0.084394702,0.669934953,20,0.05621113,-0.002735188,0.00456194,12.07229278,24.31580686,0.05621113,3.260322959
61,1.238999415,5.838411842,17.74233722,0.890473287,1.99640462,0.641108741,0.03943512,20,0.147228436,0.006853648,0.017378694,32.86136944,25.27057937,0.147228436,2.287035629
